#,Defense,Total PPG Allowed,Slot PPG Allowed,Wide PPG Allowed,Slot%,Wide%,Next Opp
1,ARZ,30.2,10.9,19.4,36%,64%,SEA
2,ATL,28.3,8.1,20.1,36%,64%,IND
3,BLT,38.6,14.3,24.2,33%,67%,MIN
4,BUF,27.8,9.6,18.3,35%,65%,MIA
5,CAR,24.0,6.7,17.3,30%,70%,NO
6,CHI,30.2,10.6,19.6,35%,51%,NYG
7,CIN,26.7,12.6,14.1,41%,59%,BYE
8,CLV,33.6,9.8,23.8,29%,71%,NYJ
9,DAL,36.7,11.4,25.3,31%,69%,BYE
10,DEN,29.0,10.7,18.3,43%,57%,LV
11,DET,33.7,12.6,21.0,34%,66%,WAS
12,GB,31.6,8.4,23.2,27%,73%,PHI
13,HST,23.4,5.7,17.7,22%,78%,JAX
14,IND,38.9,15.8,23.1,45%,55%,ATL
15,JAX,27.3,4.2,23.2,19%,81%,HST
16,KC,22.2,7.4,14.8,33%,67%,BYE
17,LA,41.1,14.4,26.7,33%,67%,SF
18,LAC,25.3,10.2,15.2,43%,57%,PIT
19,LV,37.6,14.9,22.7,37%,63%,DEN
20,MIA,20.1,7.9,12.2,42%,58%,BUF
21,MIN,31.0,7.6,23.4,33%,67%,BLT
22,NE,27.1,8.8,18.3,34%,66%,TB
23,NO,26.4,7.5,18.9,33%,67%,CAR
24,NYG,30.7,9.9,20.9,31%,69%,CHI
25,NYJ,31.5,9.8,21.7,32%,68%,CLV
26,PHI,32.4,9.1,23.4,31%,69%,GB
27,PIT,45.0,10.2,34.7,23%,77%,LAC
28,SEA,28.7,12.9,15.8,51%,49%,ARZ
29,SF,35.7,17.7,18.0,45%,55%,LA
30,TB,34.0,10.8,23.2,36%,64%,NE
31,TEN,37.8,10.9,26.9,27%,73%,BYE
32,WAS,39.6,20.1,19.5,53%,47%,DET
33,NFL Average,31.4,10.7,20.8,35%,65%,
