#,Player,Pos,Team,Games,Total Points,Slot PPG,Slot%,Wide PPG,Wide%
1,Ja’Marr Chase,WR,CIN,7,21.6,5.4,25%,16.1,75%
2,Chris Olave,WR,NO,7,15.1,6.4,42%,8.7,58%
3,Jaxon Smith-Njigba,WR,SEA,7,22.3,2.7,12%,19.5,88%
4,Keenan Allen,WR,LAC,7,15.9,7.0,44%,8.9,56%
5,Puka Nacua,WR,LA,6,21.3,7.7,36%,13.5,64%
6,Davante Adams,WR,LA,7,15.7,1.5,10%,14.2,90%
7,Amon-Ra St. Brown,WR,DET,7,20.8,13.1,63%,7.7,37%
8,Drake London,WR,ATL,6,16.2,6.6,41%,9.6,59%
9,Brian Thomas Jr.,WR,JAX,7,9.9,0.6,6%,9.4,94%
10,Ladd McConkey,WR,LAC,7,12.4,7.4,60%,5.0,40%
11,Emeka Egbuka,WR,TB,7,16.2,3.0,18%,13.2,82%
12,George Pickens,WR,DAL,7,19.0,2.1,11%,16.8,89%
13,Justin Jefferson,WR,MIN,6,15.5,4.8,31%,10.7,69%
14,Garrett Wilson,WR,NYJ,6,16.6,6.8,41%,9.8,59%
15,Tetairoa McMillan,WR,CAR,7,11.9,3.8,32%,8.1,68%
16,Wan’Dale Robinson,WR,NYG,7,13.1,10.6,81%,2.5,19%
17,Courtland Sutton,WR,DEN,7,14.0,4.7,34%,9.3,66%
18,Jerry Jeudy,WR,CLV,7,6.8,2.2,33%,4.6,67%
19,A.J. Brown,WR,PHI,7,12.4,0.5,4%,11.9,96%
20,DeVonta Smith,WR,PHI,7,14.3,7.8,54%,6.6,46%
21,Marquise Brown,WR,KC,7,12.5,5.6,45%,6.9,55%
22,Michael Pittman Jr.,WR,IND,7,14.3,2.6,18%,11.7,82%
23,Rashid Shaheed,WR,NO,7,11.1,6.6,59%,4.5,41%
24,Nico Collins,WR,HST,6,13.0,1.9,15%,11.1,85%
25,Tee Higgins,WR,CIN,7,10.5,1.5,14%,9.0,86%
26,Zay Flowers,WR,BLT,6,13.7,4.5,33%,9.2,67%
27,Quentin Johnston,WR,LAC,6,16.5,3.5,21%,13.0,79%
28,Stefon Diggs,WR,NE,7,12.1,3.8,31%,8.3,69%
29,Rome Odunze,WR,CHI,6,15.0,2.3,15%,12.7,85%
30,Troy Franklin,WR,DEN,7,9.4,5.1,54%,4.3,46%
31,Jaylen Waddle,WR,MIA,7,12.6,1.5,12%,11.1,88%
32,Travis Hunter,WR,JAX,7,9.1,6.6,73%,2.5,27%
33,Jakobi Meyers,WR,LV,6,10.3,6.4,62%,3.9,38%
34,Deebo Samuel,WR,WAS,6,13.9,5.5,40%,8.4,60%
35,Marvin Harrison Jr.,WR,ARZ,7,10.8,2.5,23%,8.3,77%
36,Tre Tucker,WR,LV,7,13.1,1.9,14%,11.3,86%
37,D.K. Metcalf,WR,PIT,6,14.4,2.2,15%,12.3,85%
38,Elic Ayomanor,WR,TEN,7,7.6,0.6,8%,7.0,92%
39,Keon Coleman,WR,BUF,6,10.0,1.7,17%,8.2,83%
40,Romeo Doubs,WR,GB,6,13.1,1.2,9%,11.9,91%
41,Sterling Shepard,WR,TB,7,8.4,3.0,36%,5.3,64%
42,Kendrick Bourne,WR,SF,6,10.6,2.4,23%,8.2,77%
43,Calvin Ridley,WR,TEN,6,7.5,1.5,20%,6.0,80%
44,Parker Washington,WR,JAX,7,6.2,3.1,50%,3.1,50%
45,Josh Downs,WR,IND,6,9.0,7.2,80%,1.8,20%
46,Khalil Shakir,WR,BUF,6,10.6,5.4,50%,5.3,50%
47,Mike Evans,WR,TB,4,8.5,1.5,17%,7.0,83%
48,Marvin Mims Jr.,WR,DEN,7,7.3,2.6,35%,4.7,65%
49,CeeDee Lamb,WR,DAL,4,15.1,6.7,45%,8.4,55%
50,Malik Washington,WR,MIA,7,4.4,2.4,55%,2.0,45%
51,Cooper Kupp,WR,SEA,7,8.5,4.7,56%,3.8,44%
52,Malik Nabers,WR,NYG,4,14.3,2.8,19%,11.5,81%
