RK,NAME,TEAM,POS,WK,OPP,TGTS,REC,CATCH%,YDS,TD,LONG,YDS/TGT,YDS/REC,ATT,YDS,AVG,TD,FUM,LOST,FPTS
1,Drake London,ATL,WR,10,IND,8,6,75,104,1,30,13,17.3,0,0,,0,0,0,24.4
2,Jameson Williams,DET,WR,10,WAS,7,6,85.7,119,1,41,17,19.8,0,0,,0,0,0,23.9
3,Emeka Egbuka,TB,WR,10,NE,13,6,46.2,115,1,31,8.8,19.2,0,0,,0,0,0,23.5
4,Jalen Nailor,MIN,WR,10,BAL,6,5,83.3,124,1,62,20.7,24.8,0,0,,0,0,0,23.4
5,Nico Collins,HOU,WR,10,JAX,15,7,46.7,136,0,54,9.1,19.4,0,0,,0,0,0,22.6
6,Chris Olave,NO,WR,10,CAR,8,5,62.5,104,1,62,13,20.8,0,0,,0,0,0,21.4
7,Ladd McConkey,LAC,WR,10,PIT,6,4,66.7,107,1,58,17.8,26.8,0,0,,0,0,0,20.7
8,Rome Odunze,CHI,WR,10,NYG,10,6,60,86,1,27,8.6,14.3,0,0,,0,0,0,20.6
9,Jaxon Smith-Njigba,SEA,WR,10,ARI,6,5,83.3,93,1,43,15.5,18.6,0,0,,0,0,0,20.3
10,Tez Johnson,TB,WR,10,NE,5,4,80,42,2,12,8.4,10.5,0,0,,0,0,0,20.2
11,Jerry Jeudy,CLE,WR,10,NYJ,12,6,50,78,1,22,6.5,13,0,0,,0,0,0,19.8
12,Davante Adams,LAR,WR,10,SF,8,6,75,77,1,23,9.6,12.8,0,0,,0,0,0,19.7
13,Jaylen Waddle,MIA,WR,10,BUF,7,5,71.4,84,1,38,12,16.8,0,0,,0,0,0,19.4
14,Alec Pierce,IND,WR,10,ATL,7,4,57.1,84,1,37,12,21,0,0,,0,0,0,18.4
15,Puka Nacua,LAR,WR,10,SF,6,5,83.3,64,1,22,10.7,12.8,0,0,,0,0,0,17.4
